Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Armenia,Mini Cars,,Vehicle Sales by make,smart,vehicles,Statista Market Insights,,80,74,68,59,53,28,47,31,45,66,71,80,75,70,66
Armenia,Mini Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Armenia,Mini Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Armenia,Mini Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Armenia,Small Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,13.41,13.52,12.99,13.12,13.29,12.38,14.63,13.6,13.74,13.76,13.53,13.71,13.61,13.77,13.64
Armenia,Small Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,6.27,5.36,4.76,3.75,2.94,1.94,3.75,2.34,3.55,5.12,5.68,6.32,5.89,5.59,5.1
Armenia,Small Cars,,Revenue by make,Dacia,million USD (US$),Statista Market Insights,,2.49,2.02,1.55,1.16,0.8,0.69,1.34,0.81,1.24,1.83,2.16,2.29,2.13,2.02,1.88
Armenia,Small Cars,,Revenue by make,Honda,million USD (US$),Statista Market Insights,,1.43,1.25,1.08,0.88,0.73,0.44,0.85,0.53,0.79,1.16,1.24,1.41,1.32,1.25,1.12
Armenia,Small Cars,,Revenue by make,Hyundai,million USD (US$),Statista Market Insights,,1.08,0.97,1.17,0.93,0.78,0.42,0.8,0.53,0.82,1.12,1.21,1.39,1.29,1.23,1.13
Armenia,Small Cars,,Revenue by make,Mitsubishi,million USD (US$),Statista Market Insights,,1.27,1.11,0.96,0.78,0.63,0.39,0.75,0.47,0.7,1.01,1.08,1.23,1.15,1.09,0.98
Armenia,Small Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,24.79,23.74,65.57,65.04,62.44,77.56,93,90.17,92.27,94.03,94.74,94.88,95.11,,95.95
Armenia,Small Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,75.21,76.26,34.43,34.97,37.56,22.44,7,9.83,7.73,5.97,5.26,5.12,4.89,,4.05
Armenia,Small Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,,,,,,,7.27,8.49,9.97,12.28,15.49,,25.23
Armenia,Small Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,,0.64,0.78,1.16,5.45,5.35,4.99,4.86,4.62,,4.05
Armenia,Small Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,100,100,100,100,100,99.36,99.22,98.84,87.27,86.16,85.04,82.86,79.89,,70.72
Armenia,Small Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,92.31,91.92,46.72,83.92,82.81,36.71,6.97,9.59,10.82,6.65,5.46,4.95,4.23,,3
Armenia,Small Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,,,45.63,8.04,8.59,48.02,93.03,90.41,77.79,79.3,78.61,76.62,75.21,,72.35
Armenia,Small Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,7.69,8.08,7.65,8.04,8.59,15.27,,,11.25,13.86,15.67,18.04,20,,23.48
Armenia,Small Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.14,0.19,0.26,0.39,0.56,,1.17
Armenia,Small Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,119.4,114.3,115.4,120.9,120.3,122.7,113.3,109.4,106.2,99.47,93.47,86.05,80.41,,67.97
Armenia,Small Cars,,Vehicle Sales by make,Total,vehicles,Statista Market Insights,,468,396,366,286,221,157,256,172,258,372,420,461,433,406,374
Armenia,Small Cars,,Vehicle Sales by make,Dacia,vehicles,Statista Market Insights,,251,203,156,117,81,73,121,78,118,175,208,219,205,192,179
Armenia,Small Cars,,Vehicle Sales by make,Honda,vehicles,Statista Market Insights,,72,64,56,46,38,24,39,26,38,56,60,68,64,60,54
Armenia,Small Cars,,Vehicle Sales by make,Hyundai,vehicles,Statista Market Insights,,73,65,98,77,64,36,57,42,64,85,92,106,100,94,87
Armenia,Small Cars,,Vehicle Sales by make,Mitsubishi,vehicles,Statista Market Insights,,72,64,56,46,38,24,39,26,38,56,60,68,64,60,54
Armenia,Small Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Armenia,Small Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Armenia,Small Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Armenia,Medium Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,25.55,25.08,24.49,24.25,24.16,23.53,28.03,25.97,26.36,26.46,26.41,26.47,26.17,26.48,26.44
Armenia,Medium Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,9.91,8.53,7.81,6.14,5.07,3.22,6.34,3.95,5.88,8.55,9.4,10.48,9.74,9.08,8.33
Armenia,Medium Cars,,Revenue by make,Honda,million USD (US$),Statista Market Insights,,1.85,1.62,1.39,1.13,0.92,0.57,1.13,0.68,1.01,1.48,1.58,1.8,1.68,1.59,1.43
Armenia,Medium Cars,,Revenue by make,Hyundai,million USD (US$),Statista Market Insights,,6.48,5.49,5.17,3.98,3.3,2.15,4.21,2.66,3.97,5.76,6.43,7.09,6.57,6.11,5.64
Armenia,Medium Cars,,Revenue by make,Mitsubishi,million USD (US$),Statista Market Insights,,1.59,1.42,1.25,1.03,0.86,0.5,1,0.6,0.9,1.32,1.39,1.59,1.48,1.38,1.27
Armenia,Medium Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,87.5,87.5,74.81,75.59,75.57,78.3,92.44,89.4,100,100,100,100,100,,100
Armenia,Medium Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,12.5,12.5,25.19,24.41,24.43,21.7,7.56,10.6,0,0,0,0,0,,0
Armenia,Medium Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,,,,,,,2.61,3.95,5.74,8.79,13.39,,26.03
Armenia,Medium Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,,0.94,1.78,1.99,3.27,3.07,3.69,4.03,4.33,,5.02
Armenia,Medium Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,100,100,100,100,100,99.06,98.22,98.01,94.12,92.98,90.57,87.18,82.28,,68.95
Armenia,Medium Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,75,75,67.94,13.61,13.65,10.2,7.47,10.35,,,,,,,
Armenia,Medium Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,,,,53.99,53.97,56.12,92.53,89.65,85.08,82.96,80.91,78.88,76.83,,72.52
Armenia,Medium Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,25,25,32.06,32.4,32.39,33.68,,,14.56,16.51,18.33,20.02,21.58,,24.21
Armenia,Medium Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.37,0.53,0.76,1.1,1.59,,3.27
Armenia,Medium Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,132.7,138.4,139.3,139.8,137.2,152.8,102.9,92.79,90.03,77.53,72.41,67.02,62.41,,53.04
Armenia,Medium Cars,,Vehicle Sales by make,Total,vehicles,Statista Market Insights,,388,340,319,253,210,137,226,152,223,323,356,396,372,343,315
Armenia,Medium Cars,,Vehicle Sales by make,Honda,vehicles,Statista Market Insights,,72,64,56,46,38,24,40,26,38,56,60,68,64,60,54
Armenia,Medium Cars,,Vehicle Sales by make,Hyundai,vehicles,Statista Market Insights,,244,212,207,161,134,89,146,100,147,211,236,260,244,224,207
Armenia,Medium Cars,,Vehicle Sales by make,Mitsubishi,vehicles,Statista Market Insights,,72,64,56,46,38,24,40,26,38,56,60,68,64,59,54
Armenia,Medium Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Armenia,Medium Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Armenia,Medium Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Armenia,Large Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,34.14,33.28,32.19,31.64,30.96,30.91,36.25,33.74,34.57,34.31,34.16,34.29,33.94,34.4,34.22
Armenia,Large Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,7.37,6.56,5.63,4.75,3.99,2.29,4.46,2.73,4.08,5.94,6.39,7.13,6.69,6.3,5.82
Armenia,Large Cars,,Revenue by make,Honda,million USD (US$),Statista Market Insights,,3.76,3.42,3.02,2.62,2.27,1.2,2.37,1.45,2.14,3.1,3.34,3.69,3.5,3.33,3.06
Armenia,Large Cars,,Revenue by make,Hyundai,million USD (US$),Statista Market Insights,,3.61,3.14,2.62,2.12,1.72,1.09,2.09,1.29,1.94,2.84,3.05,3.44,3.19,2.97,2.75
Armenia,Large Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,100,100,100,100,100,100,100,100,100,100,100,100,100,,100
Armenia,Large Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Armenia,Large Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,,,,,,,3.33,4.57,6.91,10.58,16.33,,33.53
Armenia,Large Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,,,1.64,2.47,3.33,3.43,4.26,4.81,5.1,,5.88
Armenia,Large Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,100,100,100,100,100,100,98.36,97.53,93.33,92,88.83,84.62,78.57,,60.59
Armenia,Large Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,100,100,16,15.33,,,,,67.42,67.26,67.04,66.71,66.25,,64.64
Armenia,Large Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,,,84,84.67,100,100,100,100,32.09,32.02,31.91,31.77,31.54,,30.75
