Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Azerbaijan,Passenger Cars,,Vehicle Sales,Medium Cars,thousand vehicles,Statista Market Insights,,1.79,1.54,1.16,0.98,0.86,0.49,0.76,0.51,0.73,1.08,1.16,1.3,1.21,1.13,1.04
Azerbaijan,Passenger Cars,,Vehicle Sales,Mini Cars,thousand vehicles,Statista Market Insights,,1.39,1.32,1.24,1.15,1.16,0.51,0.78,0.55,0.76,1.19,1.26,1.38,1.32,1.27,1.22
Azerbaijan,Passenger Cars,,Vehicle Sales,Minivans,thousand vehicles,Statista Market Insights,,0.86,0.8,0.73,0.67,0.62,0.3,0.47,0.33,0.46,0.68,0.73,0.81,0.77,0.73,0.69
Azerbaijan,Passenger Cars,,Vehicle Sales,Pickup Trucks,thousand vehicles,Statista Market Insights,,0.25,0.24,0.22,0.21,0.2,0.09,0.14,0.1,0.14,0.21,0.22,0.25,0.24,0.22,0.21
Azerbaijan,Passenger Cars,,Vehicle Sales,Small Cars,thousand vehicles,Statista Market Insights,,2.02,1.76,1.47,1.31,1.16,0.66,1.01,0.7,0.99,1.46,1.6,1.73,1.65,1.56,1.48
Azerbaijan,Passenger Cars,,Vehicle Sales,Sports Cars,thousand vehicles,Statista Market Insights,,0.18,0.16,0.14,0.12,0.11,0.06,0.09,0.06,0.09,0.13,0.14,0.16,0.15,0.14,0.13
Azerbaijan,Passenger Cars,,Vehicle Sales,SUVs,thousand vehicles,Statista Market Insights,,4.38,4.19,4.22,3.93,3.71,1.73,2.64,1.89,2.7,3.91,4.15,4.53,4.29,4.05,3.81
Azerbaijan,Passenger Cars,,Vehicle Sales by make,Dacia,percent,Statista Market Insights,,,,,,,,,,,13.99,,,,,
Azerbaijan,Passenger Cars,,Vehicle Sales by make,Infiniti,percent,Statista Market Insights,,,,,,,,,,,9.2,,,,,
Azerbaijan,Passenger Cars,,Vehicle Sales by make,Jeep,percent,Statista Market Insights,,,,,,,,,,,11.82,,,,,
Azerbaijan,Passenger Cars,,Vehicle Sales by make,Nissan,percent,Statista Market Insights,,,,,,,,,,,33.3,,,,,
Azerbaijan,Passenger Cars,,Vehicle Sales by make,Renault,percent,Statista Market Insights,,,,,,,,,,,15.11,,,,,
Azerbaijan,Passenger Cars,,Vehicle Sales by make,smart,percent,Statista Market Insights,,,,,,,,,,,6.95,,,,,
Azerbaijan,Passenger Cars,,Vehicle Sales by make,Suzuki,percent,Statista Market Insights,,,,,,,,,,,9.63,,,,,
Azerbaijan,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Azerbaijan,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Azerbaijan,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Azerbaijan,Small Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,13.05,13.51,14.13,14.6,15.04,12.7,13.99,13.76,13.4,13.63,13.46,13.59,13.56,13.75,13.95
Azerbaijan,Small Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,26.34,23.81,20.79,19.06,17.48,8.41,14.12,9.68,13.26,19.9,21.58,23.5,22.3,21.45,20.58
Azerbaijan,Small Cars,,Revenue by make,Dacia,million USD (US$),Statista Market Insights,,11.35,8.79,6.15,4.77,3.68,3.01,5.13,3.39,4.8,7.3,8.28,9.01,8.38,7.87,7.34
Azerbaijan,Small Cars,,Revenue by make,Nissan,million USD (US$),Statista Market Insights,,1.63,1.66,1.63,1.59,1.55,0.6,1.01,0.7,0.95,1.45,1.51,1.7,1.6,1.53,1.49
Azerbaijan,Small Cars,,Revenue by make,Renault,million USD (US$),Statista Market Insights,,5.56,5.38,5.21,4.93,4.67,1.89,3.24,2.21,3.07,4.6,4.89,5.34,5.11,5.01,4.87
Azerbaijan,Small Cars,,Revenue by make,Suzuki,million USD (US$),Statista Market Insights,,7.8,7.98,7.8,7.77,7.59,2.92,4.73,3.38,4.45,6.55,6.89,7.46,7.21,7.03,6.88
Azerbaijan,Small Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,21.25,19.41,89.26,89.2,100,100,100,100,100,100,100,100,100,,100
Azerbaijan,Small Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,78.75,80.59,10.74,10.8,0,0,0,0,0,0,0,0,0,,0
Azerbaijan,Small Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,,,,,,,0.79,1.17,1.58,2.26,3.5,,8.46
Azerbaijan,Small Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,0.43,0.99,1.22,1.58,2.15,2.73,3.17,3.57,4.02,,4.82
Azerbaijan,Small Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,100,100,100,100,99.57,99.01,98.78,98.26,97.06,96.1,95.18,94.17,92.49,,86.72
Azerbaijan,Small Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,100,90.46,17,71.52,69.88,18.84,,,,,,,,,
Azerbaijan,Small Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,,9.54,75.66,20.67,10.93,65.26,100,100,89.91,88.17,86.63,84.94,83.21,,80.06
Azerbaijan,Small Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,,,7.34,7.81,19.19,15.9,,,10.09,11.83,13.37,15.06,16.79,,19.94
Azerbaijan,Small Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,108.5,102.6,101,100.8,102.7,104.4,103.6,111.5,105.4,97.07,89.43,83.93,77.64,,66.48
Azerbaijan,Small Cars,,Vehicle Sales by make,Total,vehicles,Statista Market Insights,,"2,019","1,762","1,471","1,306","1,162",662,"1,009",703,990,"1,460","1,603","1,730","1,645","1,560","1,475"
Azerbaijan,Small Cars,,Vehicle Sales by make,Dacia,vehicles,Statista Market Insights,,"1,137",880,618,482,373,322,497,336,489,731,830,895,837,780,722
Azerbaijan,Small Cars,,Vehicle Sales by make,Nissan,vehicles,Statista Market Insights,,116,114,108,102,97,44,67,47,66,98,104,115,110,105,100
Azerbaijan,Small Cars,,Vehicle Sales by make,Renault,vehicles,Statista Market Insights,,284,274,261,240,221,102,160,112,155,227,243,263,254,245,236
Azerbaijan,Small Cars,,Vehicle Sales by make,Suzuki,vehicles,Statista Market Insights,,482,494,484,482,471,194,285,208,280,404,426,457,444,430,417
