Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Turkey,Small Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,,,,,27.06,29.6,,,9.29,11.14,12.95,14.73,16.4,17.89,19.28
Turkey,Small Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.19,0.26,0.37,0.54,0.77,1.08,1.49
Turkey,Small Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,112.9,114.1,111.7,117.6,112.2,119.2,112.6,109.4,105.6,98.83,91.55,82.98,76.25,70.33,65.24
Turkey,Small Cars,,Vehicle Sales by make,Total,thousand vehicles,Statista Market Insights,,116.8,121.7,122.2,122.5,112.7,136,119.6,119.6,197.2,195.5,190.1,173.2,170.2,178.6,186.8
Turkey,Small Cars,,Vehicle Sales by make,Ford,thousand vehicles,Statista Market Insights,,18.13,17.7,17.21,17,15.5,18,16.6,17.7,29.59,28.81,27.9,25.43,25.24,26.44,27.52
Turkey,Small Cars,,Vehicle Sales by make,Hyundai,thousand vehicles,Statista Market Insights,,14.08,13.14,17.62,15.81,13.74,16.37,15.8,17.01,27.47,27.45,27.18,25.6,25.57,26.66,27.38
Turkey,Small Cars,,Vehicle Sales by make,Lancia,thousand vehicles,Statista Market Insights,,22.27,24.06,25.74,32.14,33.69,45.27,32.9,26.29,46.23,47.07,45.79,40.21,38.05,40.58,43.4
Turkey,Small Cars,,Vehicle Sales by make,Peugeot,thousand vehicles,Statista Market Insights,,38.06,43.05,39.49,36.13,30.51,34.15,33.66,36.59,57.97,56.9,55.08,50.6,50.32,52.49,54.6
Turkey,Small Cars,,Vehicle Sales by make,Suzuki,thousand vehicles,Statista Market Insights,,24.28,23.7,22.15,21.46,19.29,22.22,20.69,22.03,35.9,35.27,34.17,31.37,30.99,32.46,33.86
Turkey,Small Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Turkey,Small Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Turkey,Small Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Turkey,Medium Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,22.49,22.37,22.43,22.47,22.43,22.37,23.78,25.67,29.85,30.14,28.91,27.61,27.42,27.56,27.69
Turkey,Medium Cars,,Revenue by make,Total,billion USD (US$),Statista Market Insights,,1.76,1.68,1.72,1.67,1.48,1.72,1.71,1.99,3.79,3.74,3.49,3.06,3.02,3.18,3.32
Turkey,Medium Cars,,Revenue by make,Ford,billion USD (US$),Statista Market Insights,,0.33,0.34,0.34,0.35,0.34,0.4,0.36,0.43,0.84,0.8,0.74,0.63,0.63,0.66,0.69
Turkey,Medium Cars,,Revenue by make,Hyundai,billion USD (US$),Statista Market Insights,,0.71,0.66,0.73,0.68,0.57,0.66,0.69,0.82,1.54,1.54,1.45,1.29,1.28,1.35,1.4
Turkey,Medium Cars,,Revenue by make,Lancia,billion USD (US$),Statista Market Insights,,0.2,0.2,0.2,0.22,0.22,0.27,0.24,0.24,0.46,0.46,0.43,0.37,0.35,0.38,0.4
Turkey,Medium Cars,,Revenue by make,Peugeot,billion USD (US$),Statista Market Insights,,0.32,0.3,0.28,0.26,0.22,0.26,0.27,0.32,0.6,0.59,0.55,0.48,0.48,0.5,0.53
Turkey,Medium Cars,,Revenue by make,Suzuki,billion USD (US$),Statista Market Insights,,0.2,0.18,0.16,0.15,0.13,0.14,0.15,0.19,0.35,0.34,0.32,0.28,0.28,0.29,0.3
Turkey,Medium Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,76.29,75.44,67.7,92.32,92.49,92.29,93.13,93.71,100,100,100,100,100,100,100
Turkey,Medium Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,23.71,24.56,32.3,7.68,7.51,7.71,6.87,6.29,0,0,0,0,0,0,0
Turkey,Medium Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,,,,,,,10.58,11.65,14.07,17.28,19.9,21.49,23.57
Turkey,Medium Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,0.05,0.45,0.86,1.36,1.79,20.2,19.14,17.64,15.58,14.88,15.2,15.36
Turkey,Medium Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,100,100,100,99.95,99.54,99.14,98.64,98.21,69.21,69.21,68.29,67.14,65.22,63.31,61.06
Turkey,Medium Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,83.11,83.52,78.87,7.68,7.51,7.71,6.87,6.29,,,,,,,
Turkey,Medium Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,8.17,7.98,7.09,53.99,53.26,52.85,93.13,93.71,96.79,93.98,91.25,88.57,85.9,83.21,80.43
Turkey,Medium Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,8.72,8.5,14.04,38.33,39.24,39.43,,,2.82,5.48,7.98,10.32,12.52,14.55,16.41
Turkey,Medium Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.38,0.55,0.78,1.11,1.58,2.24,3.16
Turkey,Medium Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,130.2,123.3,129.3,127.5,129.9,124.9,109.8,113.8,102.7,93.85,87.07,80.67,74.19,69.47,64.65
Turkey,Medium Cars,,Vehicle Sales by make,Total,thousand vehicles,Statista Market Insights,,78.13,75.05,76.5,74.17,65.98,77.03,71.98,77.66,127,124.1,120.7,110.9,110.2,115.3,119.8
Turkey,Medium Cars,,Vehicle Sales by make,Ford,thousand vehicles,Statista Market Insights,,17.22,17.15,17.2,17.37,16.43,19.42,17.1,18.77,31.54,29.86,28.75,25.89,25.88,27.16,28.15
